ETF前三碼英文
VOO
SPY
IVV
VTI
QQQ
VUG
VEA
IEF
VTV
BND
AGG
IWF
GLD
VXU
IJH
IEM
VIG
VGT
VWO
VOV
IJR
XLK
IBI
RSP
SPL
SCH
ITO
BND
VBV
EFA
IWM
IWD
VYM
IVW
SCH
VCI
QUA
QQQ
SGO
TLT
XLF
SCH
IAU
VTV
VNG
IXU
VEU
BIL
SCH
VVV
IWR
JEP
IWB
MBB
MUB
IVE
BSV
VTE
DIA
SPY
IEF
VCS
VNQ
XLV
DFA
SCH
IUS
DGR
JPS
VGI
VBR
XLE
VON
LQD
GOV
SPD
JEP
MGK
SPY
EFV
SMH
VGK
TQQ
SHY
VGF
USM
USH
XLC
BIV
VGS
IUS
MDY
VXF
JAA
XLY
ACW
IGS
COW
SHV
FBT
