etf_id,backtest_start,backtest_end,total_return,cagr,max_drawdown,sharpe_ratio
VOO,2015-05-01,2025-07-03,2.565475539669355,0.13300317915001658,-0.3399298470409229,0.7769980373263732
SPY,2015-05-01,2025-07-03,2.537558612905455,0.13212872594171565,-0.3371726367252088,0.7753168135824147
IVV,2015-05-01,2025-07-03,2.5378565775720068,0.13213809201602777,-0.33903143113395096,0.7714012697211433
VTI,2015-05-01,2025-07-03,2.3661951832705492,0.12662056787198628,-0.35000292605192995,0.7381640672020077
QQQ,2015-05-01,2025-07-03,4.51325459811812,0.1825621854149746,-0.3511873548348555,0.8612147556797791
VUG,2015-05-01,2025-07-03,3.456404149685291,0.15809928460480305,-0.3561297178459274,0.7947831230836581
VEA,2015-05-01,2025-07-03,0.8674265908734502,0.06326764184241496,-0.35735094559459346,0.43921979662346594
IEFA,2015-05-01,2025-07-03,0.859738848124231,0.06283689455105379,-0.34785244961109485,0.4369627142378071
VTV,2015-05-01,2025-07-03,1.7306657907924765,0.10370242543764108,-0.36781412915152367,0.6658469579070251
BND,2015-05-01,2025-07-03,0.17918049610749032,0.016320989101505257,-0.18582198903035618,0.3236792984146726
AGG,2015-05-01,2025-07-03,0.1668618418893606,0.015273171987630896,-0.18432958571127622,0.31087485458907516
IWF,2015-05-01,2025-07-03,3.690306615126458,0.1639330513002044,-0.32722631616540576,0.8318508783761217
GLD,2015-05-01,2025-07-03,1.7161302588880054,0.10312396166821158,-0.22002168134715383,0.7559002117530675
IJH,2015-05-01,2025-07-03,1.4672236676430979,0.09275864105357323,-0.42183505912784447,0.5269301231290519
IEMG,2015-05-01,2025-07-03,0.5381513323098428,0.043200476920076225,-0.3870653702336547,0.311099017055556
VXUS,2015-05-01,2025-07-03,0.7732993464650193,0.0578798446235258,-0.3597233082350376,0.4111536936464645
VGT,2015-05-01,2025-07-03,5.85264735357723,0.20809550222311834,-0.3507407090499415,0.9000863455039796
VIG,2015-05-01,2025-07-03,2.1307714898021577,0.11862574151718586,-0.3171626062678006,0.7705753498360192
VWO,2015-05-01,2025-07-03,0.5236193102230153,0.0422282466590016,-0.3639236641320933,0.3085099029800377
VO,2015-05-01,2025-07-03,1.5599251247100945,0.09672482093380164,-0.3937048460029766,0.5787860881043013
IJR,2015-05-01,2025-07-03,1.2705753156799875,0.08387963655388408,-0.4435869569622498,0.46876563706596963
