ETF前三碼英文
VOO
SPY
IVV
VTI
QQQ
VUG
VEA
IEF
VTV
BND
AGG
IWF
GLD
IJH
VXU
IEM
VIG
VGT
VWO
VOV
IJR
XLK
IBI
RSP
SCH
SPL
ITO
BND
VBV
EFA
IWM
IWD
VYM
IVW
SCH
VCI
QUA
QQQ
SGO
TLT
XLF
SCH
IAU
VTV
VNG
IXU
VEU
BIL
SCH
VVV
IWR
IWB
JEP
MBB
MUB
IVE
BSV
VTE
DIA
SPY
IEF
VCS
VNQ
XLV
DFA
SCH
IUS
JPS
VGI
DGR
VBR
XLE
VON
LQD
GOV
SPD
JEP
SPY
MGK
EFV
VGK
SMH
TQQ
SHY
VGF
USM
USH
XLC
BIV
VGS
MDY
IUS
XLY
JAA
VXF
ACW
IGS
COW
SHV
XLI
