Stock_ID,Date,Close,High,Low,Open,Volume
QUAL,2015-05-01,55.24108123779297,55.29236936413084,54.839364461341354,54.839364461341354,42300
QUAL,2015-05-04,55.36076736450195,55.64282936150275,55.36076736450195,55.50607617939003,977000
QUAL,2015-05-05,54.788089752197266,55.34366452265996,54.71116732544071,55.28383379482922,78800
QUAL,2015-05-06,54.48039627075195,54.95904540670525,54.206880149828294,54.95049629576956,23400
QUAL,2015-05-07,54.77100372314453,54.88211608031528,54.36073117479091,54.377826136016516,115500
QUAL,2015-05-08,55.59153747558594,55.59153747558594,55.31802464076755,55.31802464076755,16200
QUAL,2015-05-11,55.420597076416016,55.58299759065783,55.38641367231806,55.52316685189423,17800
QUAL,2015-05-12,55.249637603759766,55.41203806988981,54.82227344746765,55.04450463463621,38800
QUAL,2015-05-13,55.23255920410156,55.57444539459729,55.181271058678334,55.35222067498728,30300
QUAL,2015-05-14,55.899234771728516,55.91632646927187,55.54879302202227,55.55734213132381,39200
QUAL,2015-05-15,55.94196701049805,55.95906522901995,55.753932254175005,55.83940378360543,17800
QUAL,2015-05-18,56.0958137512207,56.20693259928098,55.81375837943952,55.959060619608486,29900
QUAL,2015-05-19,56.1471061706543,56.326598337702755,56.04453642331533,56.326598337702755,33700
QUAL,2015-05-20,56.087276458740234,56.23257871262672,55.99325581891728,56.1812970985632,13800
QUAL,2015-05-21,56.181312561035156,56.232594189212634,55.959081303830146,56.02746115544116,36500
QUAL,2015-05-22,56.010345458984375,56.181295034682364,56.010345458984375,56.121464313452954,30300
QUAL,2015-05-26,55.32656478881836,55.916322871483835,55.20689682947566,55.916322871483835,19900
QUAL,2015-05-27,55.77956771850586,55.83939843548272,55.36074617860875,55.48895672100462,85200
QUAL,2015-05-28,55.74538040161133,55.779570315912906,55.60862074440503,55.74538040161133,37300
QUAL,2015-05-29,55.29240036010742,55.7795954465492,55.2753021347236,55.7795954465492,26600
QUAL,2015-06-01,55.437686920166016,55.62572821958974,55.12998416130182,55.62572821958974,19700
QUAL,2015-06-02,55.38639831542969,55.60862298575782,55.206899627846724,55.31801848407043,25600
QUAL,2015-06-03,55.48897933959961,55.71975971419542,55.403507783515195,55.65992897283016,36300
QUAL,2015-06-04,54.98468017578125,55.369305351825155,54.91630033793247,55.360756241828994,20800
QUAL,2015-06-05,54.873558044433594,54.98467690459215,54.65133010570628,54.950486987701815,22600
QUAL,2015-06-08,54.52312469482422,54.76244760027797,54.52312469482422,54.71116598369791,19000
QUAL,2015-06-09,54.51457977294922,54.61714953504904,54.35218254041995,54.56586465399913,45300
QUAL,2015-06-10,55.25818634033203,55.34365786680246,54.788083163155484,54.788083163155484,26900
QUAL,2015-06-11,55.48042297363281,55.53170459033852,55.35221241080843,55.50606378198567,20700
QUAL,2015-06-12,55.03596496582031,55.224006270212705,54.97613423451915,55.224006270212705,24000
QUAL,2015-06-15,54.745357513427734,54.77954091144738,54.47184142131844,54.64278775618794,27500
QUAL,2015-06-16,55.104347229003906,55.172727073798725,54.63424394736566,54.63424394736566,36500
QUAL,2015-06-17,55.31801986694336,55.42058309548654,54.924845608388274,55.2752808410105,24100
QUAL,2015-06-18,55.89070510864258,55.98472578049325,55.43769997394133,55.43769997394133,37900
QUAL,2015-06-19,55.71120071411133,55.95907274750463,55.60008836302905,55.95907274750463,25400
QUAL,2015-06-22,55.90778732299805,56.07873039319467,55.830858376667486,55.99325885809636,27500
QUAL,2015-06-23,55.81376266479492,56.0103465292797,55.702643808202986,56.0103465292797,42100
QUAL,2015-06-24,55.508056640625,55.84295930793352,55.48229590491826,55.84295930793352,14500
QUAL,2015-06-25,55.30195999145508,55.78284449218322,55.27619925771035,55.78284449218322,33700
QUAL,2015-06-26,55.25044250488281,55.473713159166145,55.12163881160512,55.430780778593984,34700
QUAL,2015-06-29,54.02248001098633,54.85544570297755,54.005305089155634,54.709460505307305,43000
QUAL,2015-06-30,54.27149963378906,54.64075218320614,54.09116790754742,54.64075218320614,52600
QUAL,2015-07-01,54.546287536621094,54.80390473636203,54.36595582438049,54.80390473636203,29800
QUAL,2015-07-02,54.632164001464844,54.73521351171264,54.41748243545304,54.73521351171264,38200
QUAL,2015-07-06,54.400306701660156,54.66651301880563,54.09975382406098,54.1942142358152,34000
QUAL,2015-07-07,54.77814483642578,54.77814483642578,53.8764829856601,54.529113453364836,16200
QUAL,2015-07-08,53.9451789855957,54.47758830609683,53.91082915181358,54.47758830609683,26500
QUAL,2015-07-09,54.10831832885742,54.74377694572723,54.03103286566757,54.546270378859695,54600
QUAL,2015-07-10,54.67509460449219,54.76096918842576,54.5033519881859,54.72661935485233,41700
