Date,Close,High,Low,Open,Volume
2015-08-03,19876.30078125,20247.30078125,19399.30078125,20247.30078125,274322
2015-08-04,20300.30078125,20936.400390625,19876.30078125,19876.30078125,645108
2015-08-05,20883.400390625,20989.400390625,20247.30078125,20618.400390625,278457
2015-08-06,20724.400390625,20936.400390625,20618.400390625,20883.400390625,140936
2015-08-07,20459.30078125,20830.400390625,20459.30078125,20724.400390625,203383
2015-08-10,20459.30078125,20671.400390625,20406.30078125,20512.30078125,271680
2015-08-11,20194.30078125,20512.30078125,20194.30078125,20459.30078125,402617
2015-08-12,19823.30078125,20300.30078125,19611.30078125,20141.30078125,483751
2015-08-13,19134.30078125,19823.30078125,18763.19921875,19558.30078125,492986
2015-08-14,18869.19921875,19558.30078125,18816.19921875,19558.30078125,403370
2015-08-17,18021.19921875,18922.19921875,18021.19921875,18657.19921875,359222
2015-08-18,18498.19921875,18498.19921875,17915.19921875,18021.19921875,191772
2015-08-19,18975.19921875,19081.30078125,18233.19921875,18286.19921875,226778
2015-08-20,18339.19921875,19028.30078125,18339.19921875,19028.30078125,270548
2015-08-21,18551.19921875,18551.19921875,17756.19921875,18074.19921875,495628
2015-08-24,16749.099609375,18339.19921875,16696.099609375,18339.19921875,497533
2015-08-25,17120.099609375,17597.19921875,15901.0,15901.0,247729
2015-08-26,17968.19921875,17968.19921875,17120.099609375,17120.099609375,265171
2015-08-27,18392.19921875,18498.19921875,17756.19921875,18021.19921875,374126
2015-08-28,18498.19921875,18498.19921875,18180.19921875,18445.19921875,136500
2015-08-31,18286.19921875,18498.19921875,18180.19921875,18445.19921875,156027
2015-09-01,18127.19921875,18339.19921875,18127.19921875,18286.19921875,48795
2015-09-02,18127.19921875,18127.19921875,18127.19921875,18127.19921875,0
2015-09-03,18127.19921875,18233.19921875,17809.19921875,18127.19921875,167536
2015-09-04,18339.19921875,18339.19921875,16696.099609375,16696.099609375,120369
2015-09-08,18339.19921875,18445.19921875,18074.19921875,18074.19921875,66222
2015-09-09,19611.30078125,19611.30078125,18339.19921875,18498.19921875,346204
2015-09-10,19717.30078125,19823.30078125,19346.30078125,19505.30078125,120369
2015-09-11,19558.30078125,19823.30078125,19399.30078125,19717.30078125,72661
2015-09-14,18975.19921875,19346.30078125,18551.19921875,18551.19921875,109993
2015-09-15,19134.30078125,19134.30078125,18710.19921875,19028.30078125,63958
2015-09-16,18975.19921875,19240.30078125,18816.19921875,18816.19921875,41884
2015-09-17,19134.30078125,19187.30078125,18975.19921875,18975.19921875,13584
2015-09-18,19558.30078125,19664.30078125,19293.30078125,19558.30078125,108332
2015-09-21,19505.30078125,19611.30078125,19452.30078125,19558.30078125,30941
2015-09-22,19982.30078125,20247.30078125,19505.30078125,19505.30078125,216316
2015-09-23,19770.30078125,19982.30078125,19770.30078125,19982.30078125,73203
2015-09-24,19876.30078125,19929.30078125,19770.30078125,19770.30078125,22829
2015-09-25,20565.400390625,20671.400390625,19452.30078125,19452.30078125,163970
2015-09-28,20406.30078125,20565.400390625,20141.30078125,20565.400390625,59996
2015-09-29,20088.30078125,20353.30078125,19611.30078125,19611.30078125,30753
2015-09-30,21307.400390625,21572.400390625,20141.30078125,20565.400390625,800719
2015-10-01,22685.5,23003.5,21360.400390625,21413.400390625,329790
2015-10-02,22738.5,22791.5,22261.5,22685.5,176026
2015-10-05,23321.5,23639.599609375,22685.5,22738.5,314621
2015-10-06,23321.5,23692.599609375,23162.5,23374.5,165191
2015-10-07,23109.5,23321.5,22791.5,23321.5,173781
2015-10-08,23480.5,23533.5,23056.5,23109.5,94522
2015-10-09,23268.5,23321.5,22791.5,23215.5,160555
2015-10-12,23639.599609375,23851.599609375,23056.5,23268.5,161744
2015-10-13,24434.599609375,24646.599609375,23374.5,23374.5,295611
2015-10-14,24434.599609375,24752.599609375,24169.599609375,24169.599609375,71410
2015-10-15,24487.599609375,24646.599609375,24169.599609375,24646.599609375,67646
2015-10-16,24540.599609375,24752.599609375,24381.599609375,24434.599609375,192063
2015-10-19,25865.69921875,26448.69921875,25070.69921875,25070.69921875,313942
2015-10-20,25812.69921875,25971.69921875,25441.69921875,25971.69921875,147760
2015-10-21,27296.80078125,27561.80078125,25812.69921875,25812.69921875,398893
2015-10-22,28091.80078125,28886.900390625,27296.80078125,27296.80078125,234628
2015-10-23,28568.900390625,30212.0,28091.80078125,28091.80078125,360389
2015-10-26,28568.900390625,29098.900390625,27985.80078125,28674.900390625,537323
2015-10-27,30212.0,30212.0,28250.900390625,28568.900390625,278904
2015-10-28,32756.19921875,33180.19921875,30212.0,30212.0,339529
2015-10-29,33392.19921875,33392.19921875,31749.099609375,32756.19921875,333997
2015-10-30,32756.19921875,34452.30078125,32650.099609375,33392.19921875,198719
2015-11-02,29522.900390625,32862.19921875,29522.900390625,32809.19921875,594014
2015-11-03,30053.0,30212.0,27561.80078125,28515.900390625,398029
2015-11-04,29788.0,31272.099609375,29788.0,30053.0,86221
2015-11-05,28939.900390625,29788.0,28621.900390625,29788.0,185380
2015-11-06,27773.80078125,28992.900390625,27614.80078125,28939.900390625,257704
2015-11-09,29682.0,29947.0,27773.80078125,27773.80078125,202817
2015-11-10,29788.0,30742.0,29682.0,29682.0,277416
2015-11-11,31537.099609375,31643.099609375,29788.0,29788.0,276040
2015-11-12,32332.099609375,32862.19921875,31537.099609375,31537.099609375,279636
2015-11-13,34982.30078125,34982.30078125,32332.099609375,32862.19921875,289524
2015-11-16,35512.30078125,36042.3984375,34982.30078125,34982.30078125,234890
2015-11-17,34187.19921875,36042.3984375,33922.19921875,35512.30078125,494118
2015-11-18,35936.3984375,36042.3984375,33657.19921875,33657.19921875,209798
2015-11-19,38109.5,38109.5,36042.3984375,36572.3984375,220006
2015-11-20,37632.5,38639.5,36784.3984375,38162.5,214614
2015-11-23,39540.6015625,39752.6015625,37897.5,37897.5,273399
2015-11-24,39805.6015625,40282.69921875,38692.5,39699.6015625,275152
2015-11-25,39063.6015625,40176.6015625,38957.6015625,39752.6015625,206024
2015-11-27,38003.5,38639.5,36837.3984375,37102.3984375,323752
2015-11-30,37685.5,38957.6015625,37632.5,38162.5,231683
2015-12-01,37367.5,38268.5,37367.5,38162.5,107106
2015-12-02,36837.3984375,37632.5,36678.3984375,37632.5,308827
2015-12-03,38109.5,38109.5,36943.3984375,36943.3984375,123279
2015-12-04,39858.6015625,40812.69921875,38162.5,38162.5,270958
2015-12-07,39752.6015625,40812.69921875,39699.6015625,40812.69921875,190657
2015-12-08,38692.5,39487.6015625,38427.5,39222.6015625,189093
2015-12-09,38162.5,38692.5,37791.5,38639.5,132255
2015-12-10,37420.5,38374.5,37420.5,38162.5,73995
2015-12-11,38321.5,38427.5,37420.5,37420.5,135463
2015-12-14,38427.5,38957.6015625,36572.3984375,38957.6015625,101182
2015-12-15,38692.5,38904.6015625,38162.5,38639.5,139047
2015-12-16,38162.5,39222.6015625,38162.5,38851.6015625,100024
2015-12-17,37897.5,38745.6015625,37632.5,38162.5,203836
2015-12-18,38162.5,38798.6015625,37579.5,37897.5,153575
2015-12-21,37102.3984375,38692.5,37102.3984375,38374.5,182001
2015-12-22,36307.3984375,37897.5,36042.3984375,37102.3984375,305193
