Stock_ID,Date,Close,High,Low,Open,Volume
IWP,2015-05-01,45.91086959838867,45.92955386738334,45.56988792564082,45.57455988380447,740000
IWP,2015-05-04,46.00897216796875,46.16311475741417,45.948250949548246,46.02298448270726,354200
IWP,2015-05-05,45.44378662109375,46.06035342042582,45.40641807236794,45.990288282480165,441800
IWP,2015-05-06,45.3830680847168,45.6679934855252,45.154188382988025,45.616616182566524,532200
IWP,2015-05-07,45.625953674316406,45.63996598912199,45.252275315749905,45.313000098122,912000
IWP,2015-05-08,46.03700637817383,46.1724647216044,45.962272829462066,46.022994060519224,461000
IWP,2015-05-11,45.980953216552734,46.1584484979271,45.901544150460325,46.01364980953384,322200
IWP,2015-05-12,45.83146667480469,45.962253001375366,45.49982889995471,45.80343848792516,492200
IWP,2015-05-13,45.76608657836914,46.06035589717113,45.71937410811959,45.99963467497231,385600
IWP,2015-05-14,46.181800842285156,46.186469238273745,45.83614710143218,46.01364593150832,599800
IWP,2015-05-15,46.28455352783203,46.28455352783203,46.10238632333994,46.205148041496635,492000
IWP,2015-05-18,46.5461311340332,46.578827721336154,46.23317757503911,46.23317757503911,563600
IWP,2015-05-19,46.45738983154297,46.62087279657778,46.363972012569185,46.560151570610955,493200
IWP,2015-05-20,46.382652282714844,46.55080719327208,46.29857482743623,46.462057778349916,239600
IWP,2015-05-21,46.490074157714844,46.53678305487717,46.34994746622789,46.38264405060755,279400
IWP,2015-05-22,46.45738983154297,46.55081121417812,46.38732468548195,46.40600896200898,447000
IWP,2015-05-26,45.985595703125,46.368614246667434,45.8875059794487,46.33124927835695,334200
IWP,2015-05-27,46.34061050415039,46.39199136783914,45.96693570710423,46.05100959641933,346800
IWP,2015-05-28,46.22850036621094,46.34527438812673,46.107054385593614,46.29389353339096,521200
IWP,2015-05-29,45.96694564819336,46.233190379587064,45.92023317025693,46.228518419061075,446400
IWP,2015-06-01,46.07435989379883,46.20981819301026,45.79877490012284,46.13508110503409,1838200
IWP,2015-06-02,46.107059478759766,46.27054241476878,45.864171054355054,45.96226081596046,579800
IWP,2015-06-03,46.2658805847168,46.387323032322456,46.08838174586643,46.17713116529161,1804400
IWP,2015-06-04,45.8968620300293,46.228499820717616,45.840809217253415,46.12573811245864,660400
