date,title,push,boo,arrow,net,link
6/27,[情報] 2025年5月份景氣燈號 綠燈(31分),134,9,67,爆,https://www.ptt.cc/bbs/Stock/M.1751013339.A.7C2.html
6/27,Re: [新聞] 債蛙凍未條？台灣投資人狂拋美債ETF,6,1,8,5,https://www.ptt.cc/bbs/Stock/M.1751015360.A.ECB.html
6/27,[新聞] 跨足半導體設備服務！台特化砸30億 取得,8,1,2,6,https://www.ptt.cc/bbs/Stock/M.1751015802.A.FA0.html
6/27,[請益] 債蛙一起強大是真的嗎,40,1,27,39,https://www.ptt.cc/bbs/Stock/M.1751016312.A.B86.html
6/27,Re: [心得] 為什麼要升值? 直接吃關稅不就好了?,5,1,5,4,https://www.ptt.cc/bbs/Stock/M.1751016763.A.49B.html
6/27,[新聞] 台幣升值逼債蛙竄逃！ 台灣投資人狂拋美債,69,4,46,65,https://www.ptt.cc/bbs/Stock/M.1751017109.A.1FA.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,29,3,25,25,https://www.ptt.cc/bbs/Stock/M.1751017340.A.616.html
6/27,Re: [請益] 台幣 13.535 investing.com,25,17,35,8,https://www.ptt.cc/bbs/Stock/M.1751017675.A.E39.html
6/27,[新聞] 台電累計虧損4514億淨值僅剩2元 曾文生：,259,79,228,99,https://www.ptt.cc/bbs/Stock/M.1751019927.A.B04.html
6/27,[情報] 2323 中環 取得順達科 均價201.94元,5,1,1,4,https://www.ptt.cc/bbs/Stock/M.1751024207.A.627.html
6/27,[請益] 美債被套的下一步,52,11,42,41,https://www.ptt.cc/bbs/Stock/M.1751025718.A.E3E.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者,3,0,5,3,https://www.ptt.cc/bbs/Stock/M.1751026226.A.30A.html
6/27,Re: [新聞] 台幣爆衝攔不住 路透揭央行將買匯者全請,84,5,85,78,https://www.ptt.cc/bbs/Stock/M.1751026973.A.D7E.html
6/27,[情報] 2888新光金 7/14起停止買賣 7/24起下市,53,2,33,51,https://www.ptt.cc/bbs/Stock/M.1751027677.A.7B8.html
6/27,[標的] MSFT Copilot ai的未來可期看漲,26,10,34,16,https://www.ptt.cc/bbs/Stock/M.1751027947.A.BBC.html
6/27,Re: [新聞] 新台幣28字頭快到！今開盤升2.5角、盤中2,45,9,70,36,https://www.ptt.cc/bbs/Stock/M.1751000820.A.13A.html
6/27,[請益] 長期投資是不是不用管戰爭？,55,3,46,51,https://www.ptt.cc/bbs/Stock/M.1751001633.A.F4E.html
