ETF代碼
VOOVanguard S&P 500 ETFD
SPYSPDR S&P 500 ETF TRUSTD
IVViShares Core S&P 500 ETFD
VTIVanguard Total Stock Market ETFD
"QQQInvesco QQQ Trust, Series 1D"
VUGVanguard Growth ETFD
VEAVanguard FTSE Developed Markets ETFD
IEFAiShares Core MSCI EAFE ETFD
VTVVanguard Value ETFD
BNDVanguard Total Bond Market ETFD
AGGiShares Core U.S. Aggregate Bond ETFD
IWFiShares Russell 1000 Growth ETFD
GLDSPDR Gold TrustD
IEMGiShares Core MSCI Emerging Markets ETFD
VXUSVanguard Total International Stock ETFD
IJHiShares Core S&P Mid-Cap ETFD
VGTVanguard Information Tech ETFD
VIGVanguard Div Appreciation ETFD
VWOVanguard FTSE Emerging Markets ETFD
VOVanguard Mid-Cap ETFD
XLKSPDR Select Sector Fund - TechnologyD
IJRiShares Core S&P Small-Cap ETFD
IBITiShares Bitcoin TrustD
RSPInvesco S&P 500 Equal Weight ETFD
SPLGSPDR Portfolio S&P 500 ETFD
ITOTiShares Core S&P Total U.S. Stock Market ETFD
SCHDSchwab US Dividend Equity ETFD
BNDXVanguard Total International Bond ETFD
EFAiShares MSCI EAFE ETFD
IWMiShares Russell 2000 ETFD
IWDiShares Russell 1000 Value ETFD
VBVanguard Small-Cap ETFD
VYMVanguard High Dividend Yield ETFD
IVWiShares S&P 500 Growth ETFD
SCHXSchwab U.S. Large-Cap ETFD
VCITVanguard Intermediate-Term Corporate Bond ETFD
QUALiShares MSCI USA Quality Factor ETFD
QQQMInvesco NASDAQ 100 ETFD
SGOViShares 0-3 Month Treasury Bond ETFD
TLTiShares 20+ Year Treasury Bond ETFD
XLFSPDR Select Sector Fund - FinancialD
SCHFSchwab International Equity ETFD
VTVanguard Total World Stock Index ETFD
IAUiShares Gold Trust Shares of the iShares Gold TrustD
VNGDFVanguard Funds PLCD
IXUSiShares Core MSCI Total International Stock ETFD
VEUVanguard FTSE All World Ex US ETFD
SCHGSchwab U.S. Large-Cap Growth ETFD
BILSPDR Bloomberg 1-3 Month T-Bill ETFD
IWRiShares Russell Mid-Cap ETFD
VVVanguard Large-Cap ETFD
IWBiShares Russell 1000 ETFD
JEPIJPMorgan Equity Premium Income ETFD
MBBiShares MBS ETFD
IVEiShares S&P 500 Value ETFD
MUBiShares National Muni Bond ETFD
BSVVanguard Short-Term Bond ETFD
VTEBVanguard Tax-Exempt Bond ETFD
DIASPDR Dow Jones Industrial Average ETFD
SPYGSPDR Series Trust SPDR Portfolio S&P 500 Growth ETFD
IEFiShares 7-10 Year Treasury Bond ETFD
VCSHVanguard Short-Term Corporate Bond ETFD
DFACDimensional U.S. Core Equity 2 ETFD
XLVSPDR Select Sector Fund - Health CareD
SCHBSchwab U.S. Broad Market ETFD
VNQVanguard Real Estate ETFD
IUSBiShares Core Total USD Bond Market ETFD
JPSTJPMorgan Ultra-Short Income ETFD
VGITVanguard Intermediate-Term Treasury ETFD
DGROiShares Core Dividend Growth ETFD
VONGVanguard Russell 1000 Growth ETFD
LQDiShares iBoxx $ Investment Grade Corporate Bond ETFD
VBRVanguard Small-Cap Value ETFD
GOVTiShares U.S. Treasury Bond ETFD
JEPQJPMorgan Nasdaq Equity Premium Income ETFD
XLESPDR Select Sector Fund - Energy Select SectorD
MGKVanguard Mega Cap Growth ETFD
SPDWSPDR Portfolio Developed World ex-US ETFD
SPYVSPDR Series Trust SPDR Portfolio S&P 500 Value ETFD
TQQQProShares UltraPro QQQD
SMHVanEck Semiconductor ETFD
VGKVanguard FTSEEuropean ETFD
EFViShares MSCI EAFE Value ETFD
VGFPFVanguard Funds PLCD
SHYiShares 1-3 Year Treasury Bond ETFD
USHYiShares Broad USD High Yield Corporate Bond ETFD
XLCThe Communication Services Select Sector SPDR FundD
USMViShares MSCI USA Min Vol Factor ETFD
BIVVanguard Intermediate-Term Bond ETFD
IUSGiShares Core S&P U.S. Growth ETFD
VGSHVanguard Short-Term Treasury ETFD
MDYSPDR S&P MidCap 400 ETF TrustD
XLYSPDR Select Sector Fund - Consumer DiscretionaryD
VXFVanguard Extended Market ETFD
ACWIiShares MSCI ACWI ETFD
IWPiShares Russell Midcap Growth ETFD
JAAAJanus Henderson AAA CLO ETFD
IGSBiShares 1-5 Year Investment Grade Corporate Bond ETFD
FBTCFidelity Wise Origin Bitcoin FundD
XLISPDR Select Sector Fund - IndustrialD
